mobileCountryCode,mobileNetworkCode,locationAreaCode,cellId,primaryScramblingCode,timeFirst,timeLast,gpsLat,gpsLong
310,410,36986,34044416,177,2016-08-04 16:37:46 +0000,2016-08-04 16:37:46 +0000,36.1182473,-115.1724267
310,410,36989,34015770,75,2016-08-04 16:36:56 +0000,2016-08-04 16:36:56 +0000,36.1142781,-115.1802082
310,410,36986,34044417,177,2016-08-04 16:17:19 +0000,2016-08-04 16:17:19 +0000,36.1148162,-115.1735383
310,410,36986,34176087,177,2016-08-04 16:16:23 +0000,2016-08-04 17:11:45 +0000,36.1096297,-115.1839136
310,410,36989,34045773,276,2016-08-04 16:07:12 +0000,2016-08-04 16:07:18 +0000,36.1146792,-115.1798377
310,410,36986,34014422,391,2016-08-04 15:24:38 +0000,2016-08-04 15:24:38 +0000,36.117445,-115.1731678
310,410,36989,34047436,498,2016-08-04 15:01:30 +0000,2016-08-04 17:35:56 +0000,36.11147755,-115.1714439
310,410,36989,34047437,80,2016-08-04 14:57:58 +0000,2016-08-04 17:37:00 +0000,36.11201207,-115.1714087
310,410,36989,34045046,80,2016-08-04 14:49:05 +0000,2016-08-07 16:54:13 +0000,36.1119789,-115.1705739
310,410,36989,34045186,211,2016-08-04 14:15:49 +0000,2016-08-04 14:15:49 +0000,36.1134311,-115.1683506
310,410,36989,34045287,172,2016-08-04 14:12:12 +0000,2016-08-04 14:45:43 +0000,36.1148565,-115.1690917
310,410,36989,34015293,25,2016-08-04 14:09:11 +0000,2016-08-04 18:53:36 +0000,36.1147736,-115.1694622
310,410,33803,92191498,2147483647,2016-08-01 18:26:27 +0000,2016-08-05 06:55:35 +0000,36.1146149,-115.1730261
310,410,33803,92191497,2147483647,2016-08-01 18:34:24 +0000,2016-08-04 05:38:03 +0000,36.116068,-115.1737526
310,410,33803,92268808,2147483647,2016-08-01 18:39:31 +0000,2016-08-06 03:39:29 +0000,36.11303132,-115.1699032
310,410,33803,92211324,2147483647,2016-08-01 18:42:36 +0000,2016-08-07 17:10:19 +0000,36.1142107,-115.1699206
310,410,33803,92213893,2147483647,2016-08-01 18:52:04 +0000,2016-08-01 18:52:11 +0000,36.1148162,-115.1735383
310,410,33803,92213892,2147483647,2016-08-01 18:52:13 +0000,2016-08-04 21:53:35 +0000,36.11421988,-115.1712196
310,410,33803,92210557,2147483647,2016-08-01 18:59:44 +0000,2016-08-04 04:14:26 +0000,36.1170168,-115.1765027
310,410,33803,92210565,2147483647,2016-08-01 19:01:10 +0000,2016-08-04 04:19:34 +0000,36.1159348,-115.1751596
310,410,33803,92191504,2147483647,2016-08-01 19:01:44 +0000,2016-08-04 05:53:17 +0000,36.11571323,-115.1743755
310,410,36989,34044416,379,2016-08-01 19:06:03 +0000,2016-08-04 17:29:38 +0000,36.1172482,-115.1732903
310,410,36989,92191504,379,2016-08-01 19:15:38 +0000,2016-08-01 19:15:38 +0000,36.115076,-115.1758535
310,410,33803,92191511,379,2016-08-01 19:18:48 +0000,2016-08-04 05:56:39 +0000,36.11430281,-115.1735094
310,410,33803,92191512,379,2016-08-01 19:26:59 +0000,2016-08-04 05:59:36 +0000,36.11407553,-115.1715089
310,410,33803,92227862,379,2016-08-01 19:35:52 +0000,2016-08-04 05:50:19 +0000,36.1152033,-115.1826193
310,410,33803,92191510,379,2016-08-01 19:44:11 +0000,2016-08-03 23:27:18 +0000,36.11698942,-115.1737796
310,410,33803,92225404,379,2016-08-01 19:50:21 +0000,2016-08-04 03:58:47 +0000,36.1194045,-115.1765557
310,410,33803,92225412,379,2016-08-01 19:50:53 +0000,2016-08-04 04:07:25 +0000,36.1182466,-115.1757342
310,410,33803,92191496,379,2016-08-01 19:54:07 +0000,2016-08-05 06:51:59 +0000,36.1182998,-115.1724328
310,410,33803,92266248,379,2016-08-01 19:55:06 +0000,2016-08-05 02:27:34 +0000,36.1232232,-115.1712618
310,410,33803,92266249,379,2016-08-01 19:56:22 +0000,2016-08-05 02:23:44 +0000,36.12157335,-115.171279
310,410,33803,92237438,379,2016-08-01 20:02:08 +0000,2016-08-02 06:11:58 +0000,36.1242462,-115.1716021
310,410,33803,92237437,379,2016-08-01 20:03:43 +0000,2016-08-02 04:13:12 +0000,36.126399,-115.1736346
310,410,33803,92237445,379,2016-08-01 20:18:58 +0000,2016-08-01 20:19:14 +0000,36.12456911,-115.17241
310,410,33803,92211582,379,2016-08-01 20:28:39 +0000,2016-08-02 06:30:38 +0000,36.1210053,-115.174133
310,410,33803,92210564,379,2016-08-01 21:01:36 +0000,2016-08-03 08:00:58 +0000,36.11807,-115.1764678
310,410,33803,92210556,379,2016-08-01 21:02:05 +0000,2016-08-04 04:09:19 +0000,36.1175309,-115.1754462
310,410,36989,34014416,363,2016-08-01 21:14:13 +0000,2016-08-04 17:26:29 +0000,36.1181644,-115.1727972
310,410,36989,34044417,461,2016-08-01 21:14:30 +0000,2016-08-04 17:32:14 +0000,36.11504409,-115.1731458
310,410,33805,92206856,2147483647,2016-08-01 21:52:42 +0000,2016-08-04 01:14:20 +0000,36.11446141,-115.1763667
310,410,33805,92191498,2147483647,2016-08-01 21:57:03 +0000,2016-08-01 21:57:03 +0000,36.11522598,-115.1763576
310,410,33803,92206856,2147483647,2016-08-01 23:51:18 +0000,2016-08-01 23:51:18 +0000,36.1066367,-115.1872035
310,410,33805,92191511,2147483647,2016-08-02 00:42:24 +0000,2016-08-02 00:42:24 +0000,36.1149668,-115.1755846
310,410,33803,92266250,0,2016-08-02 02:40:16 +0000,2016-08-02 03:30:15 +0000,36.1201836,-115.1694622
310,410,33803,92253308,0,2016-08-02 02:51:10 +0000,2016-08-02 03:28:46 +0000,36.1214729,-115.1701161
310,410,33803,92509309,0,2016-08-02 03:30:35 +0000,2016-08-02 03:30:35 +0000,36.1210106,-115.1695665
310,410,33803,92509317,0,2016-08-02 03:31:42 +0000,2016-08-02 03:32:02 +0000,36.1213121,-115.1695322
310,410,33803,92357400,0,2016-08-02 03:35:33 +0000,2016-08-02 03:40:04 +0000,36.1244215,-115.1740642
310,410,33803,92357386,0,2016-08-02 04:15:06 +0000,2016-08-05 02:40:49 +0000,36.12536516,-115.1706651
310,410,33803,92268810,0,2016-08-02 07:37:47 +0000,2016-08-07 17:14:43 +0000,36.1123677,-115.1730516
310,410,33803,92268809,2147483647,2016-08-02 17:06:22 +0000,2016-08-04 22:11:08 +0000,36.11272523,-115.1727849
310,410,33803,92192093,2147483647,2016-08-02 17:09:57 +0000,2016-08-05 02:18:23 +0000,36.11021057,-115.1726273
310,410,33803,92456829,2147483647,2016-08-02 17:10:51 +0000,2016-08-02 17:51:56 +0000,36.1100967,-115.1715327
310,410,33803,92456837,2147483647,2016-08-02 17:13:55 +0000,2016-08-02 17:46:20 +0000,36.11057853,-115.1737405
310,410,33803,92456830,2147483647,2016-08-02 17:14:24 +0000,2016-08-02 17:41:08 +0000,36.1095931,-115.1700653
310,410,33803,92192092,2147483647,2016-08-02 17:17:20 +0000,2016-08-05 02:17:37 +0000,36.10857903,-115.1729377
310,410,33803,92192100,2147483647,2016-08-02 17:28:42 +0000,2016-08-02 17:37:33 +0000,36.10911352,-115.1697781
310,410,33803,92192108,2147483647,2016-08-02 17:37:47 +0000,2016-08-03 23:23:15 +0000,36.10829307,-115.1728584
310,410,33803,92192101,2147483647,2016-08-02 17:46:32 +0000,2016-08-04 05:28:23 +0000,36.11044434,-115.1731502
310,410,33803,92192109,2147483647,2016-08-02 17:46:47 +0000,2016-08-03 23:24:12 +0000,36.11160515,-115.1729234
310,410,33803,92192094,2147483647,2016-08-02 18:07:16 +0000,2016-08-05 02:17:27 +0000,36.10835649,-115.1731097
310,410,33803,92271113,2147483647,2016-08-02 18:08:50 +0000,2016-08-05 02:15:49 +0000,36.1059094,-115.1734331
310,410,33803,92271112,2147483647,2016-08-02 18:15:27 +0000,2016-08-05 02:15:05 +0000,36.10349445,-115.1726608
310,410,33803,92271114,2147483647,2016-08-02 18:45:28 +0000,2016-08-05 02:12:42 +0000,36.10151419,-115.1727002
